"Gen","T1_PC1","T2_PC1","T3_PC1","p_PC1","T1_PC2","T2_PC2","T3_PC2","p_PC2","T1_PC3","T2_PC3","T3_PC3","p_PC3"
"ADCY3","-0.76 (-0.84--0.54)","-0.54 (-0.76--0.17)","-0.17 (-0.76--0.17)","0.016","-0.18 (-0.76--0.17)","-0.54 (-0.76--0.17)","-0.54 (-0.76--0.17)","0.490","-0.54 (-0.84--0.45)","-0.54 (-0.76--0.17)","-0.36 (-0.76--0.17)","0.351"
"AGRP","0.21 (-0.24-0.43)","0.21 (-0.02-0.25)","0.22 (-0.24-0.66)","0.707","0.21 (-0.24-0.28)","0.21 (0.21-0.25)","0.22 (0.10-0.66)","0.550","0.21 (-0.24-0.41)","0.25 (0.21-0.51)","0.21 (-0.24-0.43)","0.657"
"ANKRD27","0.82 (-0.18-0.82)","-0.18 (-0.35-2.09)","-0.35 (-0.35--0.18)","0.046","0.32 (-0.18-2.09)","0.82 (-0.35-0.82)","-0.35 (-0.35--0.18)","0.040","-0.18 (-0.35-1.14)","-0.18 (-0.35-0.82)","-0.18 (-0.35-2.09)","0.719"
"ANO4","-0.51 (-0.69--0.31)","-0.51 (-0.55--0.31)","-0.31 (-0.55--0.26)","0.208","-0.51 (-0.55--0.31)","-0.31 (-0.51--0.13)","-0.51 (-0.55--0.31)","0.117","-0.51 (-0.55--0.31)","-0.31 (-0.55--0.24)","-0.51 (-0.55--0.26)","0.861"
"BDNF","-0.77 (-0.89--0.65)","-0.84 (-0.89--0.65)","-0.67 (-0.84-1.18)","0.208","-0.84 (-0.89--0.68)","-0.70 (-0.86--0.65)","-0.65 (-0.74-1.18)","0.154","-0.77 (-0.89--0.18)","-0.70 (-0.84-1.17)","-0.77 (-0.85--0.65)","0.587"
"CADM1","-0.41 (-0.56-1.00)","-0.05 (-0.56-1.00)","-0.56 (-0.74--0.41)","0.029","-0.23 (-0.56-1.00)","-0.41 (-0.56-0.47)","-0.41 (-0.56--0.36)","0.512","-0.49 (-0.74-1.00)","-0.41 (-0.56-1.00)","-0.41 (-0.56--0.05)","0.507"
"CADM2","-0.67 (-0.72--0.65)","-0.69 (-0.72-1.21)","-0.65 (-0.70-1.21)","0.367","-0.71 (-0.82--0.69)","-0.69 (-0.72-0.28)","1.19 (-0.65-1.21)","<0.001","-0.65 (-0.72--0.65)","-0.69 (-0.72-1.16)","-0.65 (-0.70-1.21)","0.399"
"CALCR","-0.35 (-1.02-1.02)","-0.35 (-0.65-1.02)","-0.21 (-0.35-1.26)","0.308","-0.30 (-0.74-1.26)","-0.35 (-0.65-0.34)","0.43 (-0.59-1.26)","0.337","-0.35 (-0.74-1.02)","-0.26 (-0.46-1.50)","-0.26 (-0.65-1.02)","0.441"
"CNR1","-0.24 (-0.30-0.69)","-0.24 (-1.12-0.69)","-0.24 (-0.30-0.69)","0.667","-0.24 (-0.30-0.69)","-0.24 (-0.27-0.69)","-0.24 (-0.71-0.69)","0.996","0.69 (-0.26-0.69)","-0.24 (-0.30-0.69)","-0.27 (-1.94-0.69)","0.151"
"CREBRF","0.38 (-1.35-0.65)","0.62 (-0.88-0.73)","0.73 (-1.35-0.79)","0.322","0.68 (0.50-0.79)","0.62 (-1.35-0.73)","0.10 (-1.35-0.75)","0.316","-1.35 (-1.35-0.65)","0.62 (-1.35-0.73)","0.73 (0.62-0.79)","0.001"
