"Gen","PC1","PC2","PC3","PC4","PC5","PC6"
"ADCY3",0.331,-0.086,0.095,-0.095,0.058,-0.067
"AGRP",0.066,0.09,0.103,0.214,-0.221,-0.216
"ANKRD27",-0.149,-0.172,0.012,-0.304,0.06,0.064
"ANO4",0.364,-0.03,0.026,0.04,-0.103,-0.128
"BDNF",0.004,0.184,-0.094,0.092,0.292,-0.236
"CADM1",-0.085,-0.083,-0.061,0.219,-0.224,0.293
"CADM2",-0.009,0.326,0.052,0.177,0.155,0.232
"CALCR",-0.004,0.051,0.079,0.22,-0.18,0.181
"CNR1",0.09,-0.041,-0.118,-0.191,-0.148,-0.011
"CREBRF",0.005,-0.104,0.329,0.068,0.149,0.114
"DPP9",0.142,-0.052,0.089,0.285,0.367,-0.076
"FTO",-0.086,-0.249,0.303,-0.047,0.202,-0.103
"GIPR",0.083,0.068,0.134,0.077,0.363,0.384
"GPR151",-0.132,-0.21,-0.06,-0.18,-0.084,-0.017
"GPR75",-0.117,0.074,-0.098,-0.039,0.019,-0.336
"KIAA0586",0.054,-0.247,-0.261,0.161,-0.089,0.171
"KIAA1109",0.171,-0.139,0.168,-0.111,-0.172,0.191
"KSR2",-0.066,0.26,0.191,-0.134,-0.191,0.186
"LEP",-0.147,0.228,0.094,-0.131,0.223,0.006
"LEPR",0.335,0.058,-0.072,-0.164,0.014,-0.095
"MC4R",-0.225,-0.147,0.088,0.299,0.012,-0.182
"MRAP2",0.017,-0.016,-0.422,0.028,0.118,-0.045
"NRP1",0,-0.278,-0.138,0.078,0.073,0.176
"NRP2",-0.087,-0.05,0.116,0.14,-0.208,-0.272
"NTRK2",-0.145,0.335,-0.027,-0.107,-0.002,-0.031
"PCSK1",0.292,-0.136,-0.019,-0.063,-0.039,0.072
"PDE3B",-0.153,-0.042,0.192,0.126,-0.268,0.109
"PHIP",-0.06,-0.25,0.253,-0.168,0.109,-0.009
"POMC",0.373,-0.039,0.065,-0.014,0.028,-0.003
"PPARG",-0.078,-0.108,-0.164,-0.271,0.089,0.043
"ROBO1",-0.054,0.166,0.13,-0.418,-0.067,0.124
"SH2B1",0.269,-0.011,0.232,-0.047,-0.06,-0.182
"SIM1",-0.151,-0.186,0.139,-0.058,0.25,-0.116
"SPARC",0.066,-0.019,-0.244,-0.029,0.137,0.204
"TMEM18",0.13,0.2,0.187,0.087,0.013,0.121
"UBR2",-0.119,-0.101,0.149,-0.071,-0.097,-0.054
"UHMK1",0.094,0.215,-0.018,-0.085,-0.058,-0.142
