"Variable","p_resultado","p_exposicion","Confusora"
"edad_anios",0.025,0.954,"No"
"sexo",0.361,0.176,"No"
"nivel_educativo",0.566,0.468,"No"
"ingreso_anual_usd",0.914,0.754,"No"
"lugar_residencia",1,0.343,"No"
"etnicidad",0.372,0.761,"No"
"af_moderada_h_semana",0.152,0.753,"No"
"af_intensa_h_semana",0.479,0.901,"No"
"tabaco",0.391,0.01,"No"
"alcohol",0.021,0.911,"No"
"frutas_g_d",0.979,0.342,"No"
"verduras_g_d",0.972,0.203,"No"
"carnes_g_d",0.003,0.078,"Si"
"bolleria_industrial_g_d",0.123,0.047,"Si"
