"Gen","p_valor","Distribucion","p_valor_fmt"
"MRAP2",1.04027140155759e-11,"No normal","1.04e-11"
"BDNF",2.8095793356537e-11,"No normal","2.81e-11"
"CADM2",8.38319992544436e-11,"No normal","8.38e-11"
"ANO4",8.03667164509356e-10,"No normal","8.04e-10"
"CREBRF",8.44745240380555e-10,"No normal","8.45e-10"
"AGRP",1.2962861872488e-09,"No normal","1.30e-09"
"PDE3B",1.35146189085589e-09,"No normal","1.35e-09"
"ROBO1",1.68637322582946e-09,"No normal","1.69e-09"
"LEP",2.10545343629384e-09,"No normal","2.11e-09"
"SIM1",8.90851646530827e-09,"No normal","8.91e-09"
"NTRK2",1.00682850355259e-08,"No normal","1.01e-08"
"ADCY3",1.10457478262227e-08,"No normal","1.10e-08"
"UBR2",1.50960373764764e-08,"No normal","1.51e-08"
"PPARG",3.40007486546746e-08,"No normal","3.40e-08"
"POMC",3.62251653130115e-08,"No normal","3.62e-08"
"ANKRD27",6.46907263897027e-08,"No normal","6.47e-08"
"NRP2",7.1851212040215e-08,"No normal","7.19e-08"
"GPR75",8.68679354657958e-08,"No normal","8.69e-08"
"LEPR",8.933046678193e-08,"No normal","8.93e-08"
"PHIP",1.20339010369365e-07,"No normal","1.20e-07"
"CNR1",2.49317732326689e-07,"No normal","2.49e-07"
"GIPR",2.50287954268855e-07,"No normal","2.50e-07"
"UHMK1",2.67055059037577e-07,"No normal","2.67e-07"
"CALCR",8.73542127502429e-07,"No normal","8.74e-07"
"KSR2",1.05161740934682e-06,"No normal","1.05e-06"
"TMEM18",1.14726146498403e-06,"No normal","1.15e-06"
"PCSK1",2.31696721984926e-06,"No normal","2.32e-06"
"NRP1",2.58563784682321e-06,"No normal","2.59e-06"
"CADM1",3.13931743114587e-06,"No normal","3.14e-06"
"SH2B1",3.64884962282231e-06,"No normal","3.65e-06"
"DPP9",4.5825850310937e-06,"No normal","4.58e-06"
"KIAA0586",4.64723039322745e-06,"No normal","4.65e-06"
"FTO",7.5473480747664e-06,"No normal","7.55e-06"
"SPARC",2.670830650919e-05,"No normal","2.67e-05"
"MC4R",4.50714490054608e-05,"No normal","4.51e-05"
"KIAA1109",7.74796224959926e-05,"No normal","7.75e-05"
"GPR151",0.000198037652561799,"No normal","1.98e-04"
